Event Name,Date,Time,Location,Description,Source URL,Vibe Score,Status,Notes,Categories,isFree
"New York City Ballet Spring Gala 2026 — Set in Stone","May 7, 2026","5:30PM cocktails / 7PM performance","David H. Koch Theater, Lincoln Center, NYC","World premiere by Principal Dancer Tiler Peck, set to Lalo's Symphonie Espagnole performed by Hilary Hahn in her NYCB debut. Evening concludes with Balanchine's Diamonds and a formal dinner and dancing on the Promenade. Champagne by Maison Ruinart.","https://www.averagesocialite.com/nyc-events/2026/5/7/new-york-city-ballet-spring-2026-gala-nyc","10 — The pinnacle of NYC's upscale social calendar: black tie, world premiere, Hilary Hahn, Ruinart champagne, Lincoln Center. Absolutely on-brand for Elite Spaces.","Pending Review","EVENT IS TONIGHT. Cocktails 5:30PM — may still be possible with tickets. Flag as same-day urgent for publishing. Ticket info at nycballet.com.","gala,art",false
"Beauty of Joseon Morning Moisturizer-SPF Grocery Pop-Up","May 7-8, 2026","TBD","Times Square Plaza, NYC","Korean skincare brand pop-up themed as a grocery store, spotlighting their cult SPF range. Interactive beauty brand activation in the heart of the city.","https://www.nycforfree.co/events","7 — Beauty brand activation directly relevant to audience; K-beauty pop-ups are a social moment for the beauty crowd.","Pending Review","STARTS TODAY, ends May 8. Urgent to review for same-day publishing if still relevant.","beauty,popup,free",true
"Lancôme Mother's Day Pop-Up Experience","May 9, 2026","10AM–6PM","Macy's Herald Square Plaza, 151 W 34th St, NYC","Luxury beauty brand activation by Lancôme to celebrate Mother's Day. First 50 visitors receive the new La Vie Est Belle Original Body Mist ($45 value). Free interactive fragrance and skincare experience.","https://www.nycforfree.co/events/lancome-mothers-day-pop-up-experience","9 — Lancôme at Macy's Herald Square: luxury beauty brand, gifting moment, perfect Mother's Day editorial hook. Top Elite Spaces fit.","Pending Review","","beauty,popup,free",true
"Billie Eilish Hit Me Hard and Soft Pop-Up","May 8-10, 2026","10AM–8PM","2 Penn Plaza, NYC","Public pop-up celebrating the release of Billie Eilish's Hit Me Hard and Soft: The Tour (Live in 3D) concert film. Shop exclusive merch, fragrance collection, and limited tour jerseys.","https://www.averagesocialite.com/nyc-events/2026/5/8/the-billie-eilish-hit-me-hard-and-soft-pop-up-nyc","7 — Fragrance and merch pop-up tied to a major cultural moment; Eilish's beauty/fragrance line has crossover with Elite Spaces beauty audience.","Pending Review","Starts tomorrow (May 8). 3-day run only. High foot traffic expected.","popup,beauty",false
"Ray-Ban House","May 5-17, 2026","TBD","62 Prince Street, SoHo, NYC","Immersive brand experience space in SoHo where Ray-Ban's heritage meets innovation. Multi-day lifestyle activation in one of NYC's most aspirational shopping neighborhoods.","https://www.averagesocialite.com/nyc-events/2026/5/5/the-rayban-house-nyc","8 — Premium fashion/lifestyle brand in prime SoHo location; aspirational insider experience that fits the Elite Spaces aesthetic perfectly.","Pending Review","Currently ongoing through May 17. Still 10 days left. Verify exact hours and experience details on Ray-Ban's site.","popup",false
"Met Costume Art Exhibition — Public Opening","Opens May 10, 2026 (through Jan 10, 2027)","Museum hours","The Metropolitan Museum of Art, 5th Avenue, NYC","The Costume Institute's new exhibition in the Met's new 12,000-sq-ft galleries adjacent to the Great Hall, launched by the 2026 Met Gala. The first major show in the newly expanded exhibition space.","https://www.averagesocialite.com/nyc-events/2026/5/4/2026-met-gala-amp-exhibition-nyc","8 — The Met, fashion, couture history: a long-run anchor event that Elite Spaces can reference all season. Culture and aspiration in one.","Pending Review","Public opening May 10. Long run through Jan 2027 — excellent evergreen listing. Verify exhibition title and ticketing on metmuseum.org.","art",false
"Frieze New York 2026","May 13-17, 2026","VIP preview May 13-14 / Public May 15-17","The Shed, 545 W 30th St, Hudson Yards, NYC","15th edition of Frieze New York featuring 65+ global galleries. Strong Latin American art focus. The most prestigious contemporary art fair in NYC, drawing collectors, gallerists, and tastemakers from around the world.","https://www.averagesocialite.com/nyc-events/2026/2/26/frieze-new-york-nyc","10 — Elite Spaces at its absolute core: art collecting, luxury, insider access, world-class galleries. VIP preview days are the social moment. Can't miss.","Pending Review","VIP preview access May 13-14 for members and collectors. Public tickets available. Tickets at frieze.com.","art",false
"In The Raw Cafe Pop-Up","May 14-16, 2026","TBD","Ludlow Coffee Supply, Lower East Side, NYC","3-day pop-up café residency on the Lower East Side. Intimate brand activation with a wellness and beauty-adjacent crowd in a cool downtown setting.","https://www.averagesocialite.com/nyc","7 — Intimate pop-up format, wellness crowd crossover, cool downtown LES location. Good discovery content for Elite Spaces.","Pending Review","Verify exact hours and RSVP requirements on Average Socialite's individual event page.","popup",false
"Playbill Road to Broadway: Rockefeller Center","May 14, 21, 28 + June 4, 2026","12PM–1PM","30 Rockefeller Plaza, Midtown NYC","Free outdoor Broadway lunchtime series. Opening show features selections from Wicked, Chicago, and Hadestown at the iconic Rockefeller Center plaza. Four-week run.","https://www.averagesocialite.com/nyc-events/2026/5/14/playbill-road-to-broadway-rockefeller-center-nyc","7 — Arts-forward, culturally elevated, aspirational NYC lunchtime experience. Strong cultural fit.","Pending Review","Recurring 4-date series (May 14, 21, 28, June 4). Consider listing as single series or individual show dates depending on editorial approach.","art,free",true
"Park Avenue Day 2026","May 16, 2026","10AM–6PM","Park Avenue (34th–40th Streets), Midtown NYC","Annual open-air event along Park Avenue featuring pop-ups, activations, food, and community moments from some of the neighborhood's most notable brands and institutions. One of Midtown's most stylish spring days.","https://www.nycforfree.co/events/park-avenue-day-2026","8 — Park Avenue address alone sets the tone: upscale, aspirational, and community-driven. Strong neighborhood brand alignment with Elite Spaces audience.","Pending Review","","free",true
